Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
connection-orangebank-certicode.derlma.com,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
oixpurchase.856645.xyz,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1
heinthu1.github.io,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
royaleboxm11.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
zerviceconfirm.start.page,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
l2nxj4.webwave.dev,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
travaux.fr.fo,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
sad-lederberg.51-116-101-12.plesk.page,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
help-center196.crabdance.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
nvidia-drive1.site,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
